time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x,y,z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/02/28/14:16:49.390299,28283,1677611809,387908789,map,0.232056885957718,-0.355188518762588,1.44025003910065,-0.00302040516624,0.01159502212801,-0.024803504642358,-0.999620576955434
2023/02/28/14:16:49.403653,28284,1677611809,398751499,map,0.232180058956146,-0.355195641517639,1.43964743614197,-0.00302040516624,0.01159502212801,-0.024803504642358,-0.999620576955434
2023/02/28/14:16:49.452359,28285,1677611809,413027002,map,0.232411473989487,-0.355230271816254,1.43848633766174,-0.00302040516624,0.01159502212801,-0.024803504642358,-0.999620576955434
2023/02/28/14:16:49.452428,28286,1677611809,425720406,map,0.232499659061432,-0.355282217264175,1.43792629241943,-0.00302040516624,0.01159502212801,-0.024803504642358,-0.999620576955434
2023/02/28/14:16:49.459157,28287,1677611809,433556784,map,0.232560530304909,-0.355332285165787,1.43738651275635,-0.00188088806704,0.009614533155405,-0.026170874848597,-0.999609492334275
2023/02/28/14:16:49.459431,28288,1677611809,444912988,map,0.232585355639458,-0.355370819568634,1.43687653541565,-0.00188088806704,0.009614533155405,-0.026170874848597,-0.999609492334275
2023/02/28/14:16:49.460488,28289,1677611809,456296796,map,0.232572332024574,-0.355409622192383,1.4363921880722,-0.00188088806704,0.009614533155405,-0.026170874848597,-0.999609492334275
2023/02/28/14:16:49.493664,28290,1677611809,471680748,map,0.232542440295219,-0.355431854724884,1.43594658374786,-0.00188088806704,0.009614533155405,-0.026170874848597,-0.999609492334275
2023/02/28/14:16:49.506410,28291,1677611809,479687388,map,0.232501953840256,-0.355442374944687,1.43552756309509,-0.000785392034021,0.008657849085045,-0.027128409099916,-0.999594193028266
2023/02/28/14:16:49.506449,28292,1677611809,491957507,map,0.232414826750755,-0.355467289686203,1.43476402759552,-0.000785392034021,0.008657849085045,-0.027128409099916,-0.999594193028266
2023/02/28/14:16:49.535298,28293,1677611809,501494891,map,0.232384458184242,-0.355483084917068,1.43440926074982,-0.000785392034021,0.008657849085045,-0.027128409099916,-0.999594193028266
2023/02/28/14:16:49.535753,28294,1677611809,517247388,map,0.232366323471069,-0.355491250753403,1.43407380580902,-0.000785392034021,0.008657849085045,-0.027128409099916,-0.999594193028266
2023/02/28/14:16:49.536761,28295,1677611809,526765084,map,0.232342094182968,-0.355503648519516,1.43375241756439,-0.000785392034021,0.008657849085045,-0.027128409099916,-0.999594193028266
2023/02/28/14:16:49.562485,28296,1677611809,537545658,map,0.232326790690422,-0.355501532554626,1.43344473838806,-0.000843610331977,0.009772738924552,-0.028187559402995,-0.999554574990666
2023/02/28/14:16:49.562540,28297,1677611809,548839830,map,0.23231802880764,-0.35548985004425,1.4331521987915,-0.000843610331977,0.009772738924552,-0.028187559402995,-0.999554574990666
2023/02/28/14:16:49.564922,28298,1677611809,558881437,map,0.232309117913246,-0.35548922419548,1.43287527561188,-0.000843610331977,0.009772738924552,-0.028187559402995,-0.999554574990666
2023/02/28/14:16:49.575236,28299,1677611809,573054335,map,0.232274904847145,-0.355487525463104,1.43234395980835,-0.001201241817388,0.011722582199206,-0.029408342870113,-0.999498056066813
2023/02/28/14:16:49.596072,28300,1677611809,584729084,map,0.232244655489922,-0.355487078428268,1.43208169937134,-0.001201241817388,0.011722582199206,-0.029408342870113,-0.999498056066813
2023/02/28/14:16:49.596440,28301,1677611809,595659763,map,0.232202455401421,-0.355506956577301,1.43182277679443,-0.001201241817388,0.011722582199206,-0.029408342870113,-0.999498056066813
2023/02/28/14:16:49.606382,28302,1677611809,605078604,map,0.23215988278389,-0.355538010597229,1.43156349658966,-0.001201241817388,0.011722582199206,-0.029408342870113,-0.999498056066813
2023/02/28/14:16:49.636800,28303,1677611809,620185261,map,0.232122763991356,-0.355583965778351,1.431307554245,-0.000782358119473,0.013832161700445,-0.030429265981592,-0.99944094708708
2023/02/28/14:16:49.638315,28304,1677611809,629578946,map,0.232079029083252,-0.35565921664238,1.4310542345047,-0.000782358119473,0.013832161700445,-0.030429265981592,-0.99944094708708
2023/02/28/14:16:49.660744,28305,1677611809,642557978,map,0.23200748860836,-0.355818420648575,1.43055474758148,-0.000782358119473,0.013832161700445,-0.030429265981592,-0.99944094708708
2023/02/28/14:16:49.675575,28306,1677611809,672602593,map,0.231968909502029,-0.355905026197434,1.43030369281769,-0.000782358119473,0.013832161700445,-0.030429265981592,-0.99944094708708
2023/02/28/14:16:49.675623,28307,1677611809,673788125,map,0.231933504343033,-0.355985730886459,1.43004512786865,0.000249613393217,0.01619858146233,-0.031514378743354,-0.999371994842917
2023/02/28/14:16:49.694378,28308,1677611809,691849915,map,0.231839150190353,-0.35616797208786,1.42949652671814,0.000249613393217,0.01619858146233,-0.031514378743354,-0.999371994842917
2023/02/28/14:16:49.698575,28309,1677611809,697729087,map,0.231741711497307,-0.356307685375214,1.42920017242432,0.000249613393217,0.01619858146233,-0.031514378743354,-0.999371994842917
